txn_id,user_id,name,card_number,merchant,timestamp,location,device_id,amount,is_fraud
0,962d5682-53ce-42fb-9290-e74d2fbbeb5e,Alexis Jackson,4155583434129,Thomas-Daniel,2025-07-04 10:48:10,"Port Michael, VT",602ee58d-49bb-4a11-b12e-cff9971985ee,732.32,0
1,7d8c5d4a-a4f5-4c2a-a731-446fedeb49a0,Allen Williams,4415423356753876,Donaldson Group,2025-07-14 04:42:22,"New York, NY",149c280e-fe7f-471f-b895-7532676fc267,5656.28,1
2,7debf197-50e0-4b91-9cc4-ed1b8fc09963,Cheryl Quinn,180033507311770,Krueger-Rodriguez,2025-07-11 06:22:00,"Waltersberg, CT",9ebd79d6-bb10-4db8-a2d8-85f64b255977,74.57,0
3,6f580e31-3783-4024-bf68-487c1dee06fe,Crystal Thomas,6011029644002050,Lee-Smith,2025-07-20 18:27:43,"Port Jefferyfort, OH",176240cd-bfea-431a-a323-064f6f2f8950,507.7,0
4,14b7d5a7-d5e5-453d-beb6-7138e371f08b,Alexandra Long,4041110916554678,Mendoza-Pierce,2025-07-20 05:00:58,"Port Adrianland, IN",8c3eae42-ea71-4e50-b9c5-363788829438,73.93,0
5,420d058d-d93f-4e58-8d5c-b6b90f60a818,Mrs. Sarah White,213154604523587,"Gordon, Andersen and Rasmussen",2025-07-25 20:31:11,"Heidiberg, DC",305f9c80-d1de-4237-83dc-62bc376fde15,165.96,0
6,22fbf172-b50c-4314-8fbb-aca75ba42457,Jose Taylor,4098001068004558,Cochran Inc,2025-07-22 02:22:46,"Ortegaport, CA",cd89ba96-683c-4857-88df-92643257c53d,4343.22,1
7,130c796b-a75e-49a7-9337-9c5396ee26a2,Steven Juarez,180008876276135,Ramirez-Roberts,2025-07-04 01:30:51,"New York, NY",11977bec-cc67-4469-a7a8-f9d662c535d6,1724.58,1
8,d9e54df8-19c3-4766-ac8b-28465b6bf9b7,Sabrina Jenkins,180025362061268,Hansen PLC,2025-07-22 04:26:06,"London, UK",282a36cc-0fe9-4f8a-a564-a1173150e0b6,4172.73,1
9,71000357-c6d1-4239-ad11-3cfa1f651bdf,Richard Rodriguez,3504799792727630,"Sanchez, Sanchez and Hughes",2025-06-28 17:46:29,"Tonymouth, UT",734d4d49-5cfe-458d-9a27-c55884d31c3b,399.44,0
10,603a86bc-a9cd-424b-8efd-5a3257f80972,Carrie Turner,4648742133342300,"Morton, Gregory and Brown",2025-07-14 09:30:47,"Chandlerbury, VT",dc514c7d-cd9d-48ff-a9c4-3effe168b6ad,371.3,0
11,8544a52e-5cd5-4498-a0b7-75191e5c40dc,James Snyder,30254854784870,"Richardson, Henderson and Cervantes",2025-07-24 00:02:19,"New York, NY",5b374886-d466-402b-b51a-bbb05d197f51,3183.19,1
12,08406585-f92d-47fb-8d23-147e7518b862,David Newman,3555791768372226,Hall-Owens,2025-07-07 19:46:23,"Lake Kevin, NM",fd399443-54f8-4693-aaba-c5deeaac99aa,1023.5,0
13,7debf197-50e0-4b91-9cc4-ed1b8fc09963,Francis Carpenter,4629968926509606,Farrell LLC,2025-07-13 18:02:41,"Woodchester, NY",0951c801-fd4d-4bfb-afbe-69a28e8515d1,919.21,0
14,2f83e2e1-de67-46b8-a4c6-0336c79c28db,Emily Jones,675905765953,"Anderson, Jones and Palmer",2025-07-26 06:22:28,"Jessicamouth, ME",a02847bc-babe-4160-b681-480894151c68,1031.41,0
15,16269c00-153d-4bca-9db0-70fb9e39bc7c,Bradley Martinez,4337342201896,Martin Group,2025-07-08 06:50:46,"West Mikebury, IL",a2040a5f-3ee5-462d-8972-e1969bd6aaa4,325.0,0
16,a3b3b844-5ebd-4fcb-8d5f-d1076cd83cfe,Lisa Torres,4450866973111,"Aguirre, Nguyen and Williams",2025-07-04 15:51:21,"South Kenneth, TN",b5512bc4-38cd-442a-81c4-a258776e61d6,1073.03,0
17,549934a2-20f3-44a2-8a92-7016ffe31686,Mary Suarez,4368911142152152,"Bryan, Griffith and Hunter",2025-07-10 08:17:03,"Jacquelinetown, SD",171351f7-95dd-407a-80f7-f39813a6d9cd,471.95,0
18,c9adb87b-45e7-433f-baa5-548761baa170,Joshua Valdez,213136227751596,Combs PLC,2025-07-14 02:08:13,"Randyside, AK",1a14f66a-7dca-4019-a716-2c3cfbb198c3,706.74,0
19,191b03fe-a454-46fa-95c5-7a91ba5d3ffb,Douglas Humphrey,3564266770095460,Zimmerman-Potter,2025-07-26 01:27:21,"New Steven, TN",7c0df12e-d002-4a80-b3d9-959323f4ff48,1081.61,0
20,b2b78ed6-9e90-4472-bec3-3015f0ed2280,Wayne Flores,30305298333219,Chapman-Mendoza,2025-07-11 18:01:36,"Erinberg, AL",4057901c-ef3e-460a-a4af-91116bf9e515,601.73,0
21,27ef466c-0dec-4c90-a250-d5d172242d4c,Diana Marshall,4354718117903912865,Miller Ltd,2025-07-03 04:20:56,"North Jose, AL",7173804b-3f64-49e4-81a5-a4ce4c2fbb6a,160.51,1
22,d716a3c8-1b51-4325-8226-4f8bccec631c,Jacob Henson,2707757906696445,"Welch, Blake and Morris",2025-07-18 15:22:24,"West Maryport, VT",67e8b351-a8f2-4653-a376-77ceaf180b12,664.08,0
23,09db2c91-bfa6-4df3-9987-ab004ca14c2a,Jeffrey Bryan,676148625004,Dennis PLC,2025-06-28 22:55:06,"West Brian, NH",507c530d-99ce-4dd2-b8d2-64176c4d8ccd,31.44,0
24,f41f9457-89f8-405c-afab-23938ef3de57,Daniel Rivers,4182197555677,Allen-Miller,2025-07-03 01:54:56,"Caseyfurt, GU",9e847b44-e549-4068-b391-6595ea8766dd,84.53,1
