transaction_id,customer_id,customer_name,customer_age,customer_country,transaction_type,amount,currency,payment_method,merchant,category,transaction_date,is_fraudulent,status,device_type,ip_address,transaction_location
fc9a4ef0-756e-4810-86fe-5da153cff92c,bf7b169681540988,Tyler Sanchez,23,Australia,purchase,115.02,GBP,paypal,Parker PLC,electronics,2024-11-29T19:17:27,False,failed,desktop,179.218.56.131,Germany
f3855616-7801-4155-a6a0-0138f78630b6,eebbe04a788493b2,Krystal White,21,UK,refund,44.37,AUD,crypto,Garcia LLC,health,2025-03-20T13:34:44,False,completed,mobile,91.40.38.175,USA
0e20bda7-c0ed-4c88-ae2e-4888570287a8,3516dc20cc11a21a,Vanessa Velasquez,58,Australia,refund,144.25,JPY,crypto,Morales Inc,entertainment,2025-07-09T09:09:38,False,completed,mobile,46.223.239.24,Australia
4991b76c-9764-4609-85ef-4b19071a71f3,45d5eda345d1bba8,Riley Adams,35,Germany,transfer,536.22,GBP,debit_card,Hoffman Inc,electronics,2025-04-10T00:52:19,False,pending,mobile,204.245.9.49,USA
335cb5a8-4509-40f0-89d3-b079f58fb1b8,3e0a941e39064020,Brittany Miller,74,France,deposit,38.43,AUD,debit_card,Ortiz-Johnson,entertainment,2024-12-21T17:55:23,False,failed,tablet,219.210.27.143,UK
72b8074f-179e-4cc1-88bc-0f2cc02e120d,7ae204a568643db3,Billy Powell,56,Japan,refund,38.43,AUD,crypto,Larson-Brown,clothing,2025-02-10T13:04:08,False,pending,tablet,189.158.135.59,Australia
a1f5cbdd-d579-42ad-8a9d-bd99429e8ec0,e7e70666d7ee038f,Matthew Hale,50,Germany,transfer,583.37,EUR,bank_transfer,"Diaz, Chase and Aguilar",clothing,2025-05-08T14:38:49,False,pending,mobile,60.212.91.146,France
e7df8f4b-28b9-4f0d-b114-b93af765080e,8300e12d10e12c6f,Brenda Jones,34,UK,deposit,172.63,GBP,debit_card,Morales Inc,electronics,2024-10-25T10:12:09,False,completed,mobile,30.83.173.109,France
dc8c55b4-1f05-4a67-b069-f04a0e62b66b,1af4811557b604eb,Kristen Glenn,45,USA,purchase,27.0,JPY,paypal,"Leblanc, Herring and Casey",groceries,2025-07-22T03:54:55,False,completed,tablet,180.63.123.209,USA
075acc37-ae7d-4513-ac12-86bf9dfb6452,5c0635be9a3c2e9d,Philip Durham,32,Germany,deposit,123.2,GBP,crypto,Ortiz-Johnson,travel,2025-07-07T15:33:05,False,completed,tablet,133.67.118.3,Germany
063714e3-880b-4b91-ba29-f90ab2fb721d,24b1684acefadc04,Mrs. Barbara Walters,28,France,transfer,27.25,EUR,bank_transfer,Lozano-Gonzalez,electronics,2024-08-01T15:19:19,False,failed,mobile,62.254.85.169,Germany
d2bd669d-d6d0-4811-9331-9f6d8fa37cee,4f8d76abc6c5826a,James Jackson,23,France,withdrawal,27.15,USD,paypal,"Leblanc, Herring and Casey",clothing,2024-08-17T11:03:59,False,pending,mobile,24.186.27.157,Australia
bfbea94a-e635-4377-aff1-da585e873c21,7ae204a568643db3,Billy Powell,56,Japan,refund,78.49,GBP,paypal,Bryant-Smith,travel,2025-03-08T04:48:21,False,failed,mobile,35.192.60.37,Germany
6761a403-a154-4031-9863-b08fe84a0abd,ac6d47ffa3255be2,Dr. Daniel Hughes,75,France,deposit,3.1,GBP,credit_card,Padilla LLC,travel,2025-02-14T13:55:25,False,completed,desktop,16.145.230.208,USA
6b760702-9305-4334-9966-b767e823b348,4f8d76abc6c5826a,James Jackson,23,France,refund,4.11,EUR,bank_transfer,Hendricks PLC,travel,2025-05-23T05:18:37,False,failed,tablet,41.223.133.8,USA
5d013889-bede-4315-9811-96ae71a88925,09b32f4e94745a3f,Thomas Guzman MD,38,UK,withdrawal,23.49,CAD,debit_card,Tyler-Lopez,electronics,2025-05-05T16:18:54,False,failed,mobile,194.237.121.88,UK
58cb4342-16f4-4e6f-907b-1f98d24e4754,bd399182db5cf017,Lauren Davis,61,Japan,transfer,11.95,JPY,credit_card,Ortiz-Johnson,entertainment,2025-06-16T09:39:04,False,failed,mobile,216.155.159.34,USA
715cfdd1-af5f-4a6e-a59a-39db8ee73a83,4f8d76abc6c5826a,James Jackson,23,France,deposit,87.48,GBP,credit_card,Bryant-Smith,entertainment,2025-03-24T03:02:03,False,completed,desktop,176.3.13.199,Australia
908c41ea-2119-4706-884d-09fc9953a8a2,aefba2684c669e74,John Perez,52,Germany,deposit,13.98,JPY,debit_card,Duncan-Ross,entertainment,2024-09-07T01:43:23,False,failed,tablet,43.39.253.171,France
89930b7b-226f-4637-8967-f8d55092396e,9cc7b788cb3d8c82,Tiffany Banks,59,Germany,deposit,6.56,GBP,paypal,Brown Group,health,2024-10-03T23:45:25,False,pending,desktop,15.110.226.79,Canada
0dbc4410-3569-4b3d-b4d2-92578d459c51,5c0635be9a3c2e9d,Philip Durham,32,Germany,transfer,492.0,USD,bank_transfer,Morales Inc,travel,2024-08-08T00:40:41,False,failed,mobile,90.36.27.245,Canada
ae6d86c8-176c-4fb2-a35a-d7a9c5c338aa,08744fb04db5e3b3,Keith Robinson,19,USA,deposit,38.91,CAD,debit_card,Morales-Perez,groceries,2024-10-29T05:40:50,False,completed,desktop,180.249.110.220,France
4fcef674-7b13-43c4-b75d-98f471d5c201,ec01fa6e538369d6,Alex Kerr,58,France,refund,60.42,JPY,bank_transfer,"Jones, Francis and Mitchell",groceries,2025-07-26T19:59:08,False,failed,tablet,35.5.121.180,Australia
ab29efa2-dd96-4531-b3a5-36c24c91944c,82ea76d55d802f16,Joseph Berry,19,Japan,deposit,6.44,USD,paypal,Morales-Perez,groceries,2025-05-26T23:46:22,False,completed,tablet,40.144.127.225,Japan
4e92e355-c086-4b3d-ba93-2f5d2d0a6be4,9ff4eb1c6a4d1701,James Kirk,74,Japan,refund,24.13,JPY,paypal,Tyler-Lopez,health,2025-05-07T01:44:31,False,failed,tablet,99.139.52.98,Canada
edc1cfc3-8a92-4192-81fc-d90251c0a7be,e8cdbad60dc1e84c,Danielle Fletcher,80,Germany,deposit,64.48,USD,bank_transfer,George Ltd,health,2025-03-02T11:05:40,False,pending,mobile,81.195.187.162,Canada
88c0e0fe-c6dc-4fd5-867d-23a393fe6a7e,2927aeb8aef73e54,Hayden Nelson,58,USA,transfer,9.71,CAD,debit_card,Padilla LLC,health,2024-10-28T01:38:28,False,failed,desktop,51.163.179.229,Japan
388232cd-3406-4755-9c6b-1a6494d9b3ed,09b32f4e94745a3f,Thomas Guzman MD,38,UK,purchase,95.92,AUD,credit_card,Williams PLC,entertainment,2025-01-26T01:25:41,False,pending,tablet,26.179.50.240,USA
74d9815a-4729-40b0-9488-9cd2571441ef,9ff4eb1c6a4d1701,James Kirk,74,Japan,refund,22.18,USD,bank_transfer,Garcia LLC,groceries,2024-11-16T14:40:39,False,completed,desktop,174.198.72.36,UK
a1a17bee-b401-4d64-8763-5311646a5ecb,977e73656e8bc592,David Ferguson MD,23,Germany,refund,35.25,JPY,credit_card,"Smith, Joseph and Banks",entertainment,2024-11-03T09:01:25,False,completed,mobile,187.103.97.108,Canada
df2b9569-625b-4d9f-8fd1-d4e5556b9e6b,77c033f1e67c252b,Austin Snyder,39,Canada,withdrawal,22.14,AUD,credit_card,Hammond-Taylor,travel,2025-03-10T22:37:06,False,failed,mobile,136.199.22.121,UK
b59d8561-9b6d-4641-ba50-8397d4732fab,7f7c9c4743259366,William Ruiz,23,France,refund,878.68,USD,credit_card,Ortiz-Johnson,clothing,2025-01-31T00:44:50,False,pending,desktop,74.77.247.63,Germany
3cd5cddc-30b0-43ef-b5a3-dc7923bcda70,84d68aeb51eb41be,Stephen Powell,30,Japan,refund,53.5,AUD,debit_card,Jackson Group,travel,2024-11-17T06:13:23,False,completed,desktop,75.203.54.41,USA
83521f58-4bea-4ae3-bd04-ee0a1dc8375c,fc69bffc08cb4410,Jeffery Elliott,32,Australia,deposit,11.17,JPY,bank_transfer,Hammond-Taylor,electronics,2025-03-23T14:02:58,False,pending,mobile,32.82.87.175,Japan
4ff06c32-98d4-4fb4-87e6-f69f1a1afbf0,718dbe9e0f4f93e5,Linda Brown,47,UK,transfer,187.51,JPY,credit_card,"Morgan, Page and Russell",groceries,2025-06-20T04:25:18,False,pending,desktop,67.171.116.167,USA
ee1e50ed-41c4-42a5-aefd-e57849465c90,f33918d764b92e1d,Mr. Mark Silva,53,France,deposit,8.75,JPY,credit_card,Jackson Group,groceries,2024-11-14T04:49:17,False,pending,mobile,175.236.242.29,Germany
34686666-c362-4b6a-b992-98401bb484e8,8c783345c6c8f5cd,Bradley Miller,69,Canada,deposit,74.69,EUR,debit_card,Bryant-Smith,health,2024-09-10T00:48:13,False,failed,desktop,7.214.39.149,Canada
0492d0fe-a148-4a12-8431-976aaf7748b7,7be21778db08f8f9,Jasmine Gibson,23,Australia,purchase,2.89,CAD,paypal,Brown Group,travel,2024-08-06T01:06:51,False,failed,desktop,29.245.58.174,France
